isco,isco_title,level
7533,"Sewing, embroidery and related workers",4
7534,Upholsterers and related workers,4
7535,"Pelt dressers, tanners and fellmongers",4
7536,Shoemakers and related workers,4
7541,Underwater divers,4
7542,Shotfirers and blasters,4
7543,Product graders and testers (excluding foods and beverages),4
7544,Fumigators and other pest and weed controllers,4
7549,Craft and related workers not elsewhere classified,4
8111,Miners and quarriers,4
8112,Mineral and stone processing plant operators,4
8113,Well drillers and borers and related workers,4
8114,"Cement, stone and other mineral products machine operators",4
8121,Metal processing plant operators,4
8122,"Metal finishing, plating and coating machine operators",4
8131,Chemical products plant and machine operators,4
8132,Photographic products machine operators,4
8141,Rubber products machine operators,4
8142,Plastic products machine operators,4
8143,Paper products machine operators,4
8151,"Fibre preparing, spinning and winding machine operators",4
8152,Weaving and knitting machine operators,4
8153,Sewing machine operators,4
8154,"Bleaching, dyeing and fabric cleaning machine operators",4
8155,Fur and leather preparing machine operators,4
8156,Shoemaking and related machine operators,4
8157,Laundry machine operators,4
8159,"Textile, fur and leather products machine operators not elsewhere classified",4
8160,Food and related products machine operators,4
8171,Pulp and papermaking plant operators,4
8172,Wood processing plant operators,4
8181,Glass and ceramics plant operators,4
8182,Steam engine and boiler operators,4
8183,"Packing, bottling and labelling machine operators",4
8189,Stationary plant and machine operators not elsewhere classified,4
8211,Mechanical machinery assemblers,4
8212,Electrical and electronic equipment assemblers,4
8219,Assemblers not elsewhere classified,4
8311,Locomotive engine drivers,4
8312,"Railway brake, signal and switch operators",4
8321,Motorcycle drivers,4
8322,"Car, taxi and van drivers",4
8331,Bus and tram drivers,4
8332,Heavy truck and lorry drivers,4
8341,Mobile farm and forestry plant operators,4
8342,Earthmoving and related plant operators,4
8343,"Crane, hoist and related plant operators",4
8344,Lifting truck operators,4
8350,Ships' deck crews and related workers,4
9111,Domestic cleaners and helpers,4
9112,"Cleaners and helpers in offices, hotels and other establishments",4
9121,Hand launderers and pressers,4
9122,Vehicle cleaners,4
9123,Window cleaners,4
9129,Other cleaning workers,4
9211,Crop farm labourers,4
9212,Livestock farm labourers,4
9213,Mixed crop and livestock farm labourers,4
9214,Garden and horticultural labourers,4
9215,Forestry labourers,4
9216,Fishery and aquaculture labourers,4
9311,Mining and quarrying labourers,4
9312,Civil engineering labourers,4
9313,Building construction labourers,4
9321,Hand packers,4
9329,Manufacturing labourers not elsewhere classified,4
9331,Hand and pedal vehicle drivers,4
9332,Drivers of animal-drawn vehicles and machinery,4
9333,Freight handlers,4
9334,Shelf fillers,4
9411,Fast food preparers,4
9412,Kitchen helpers,4
9510,Street and related service workers,4
9520,Street vendors (excluding food),4
9611,Garbage and recycling collectors,4
9612,Refuse sorters,4
9613,Sweepers and related labourers,4
9621,"Messengers, package deliverers and luggage porters",4
9622,Odd job persons,4
9623,Meter readers and vending-machine collectors,4
9624,Water and firewood collectors,4
9629,Elementary workers not elsewhere classified,4
