group_name,group_description,id
Science and Engineering Professionals,Mechanical Engineers,1488
Protective Services Workers,Firefighters,1489
Personal Services Workers,Travel Guides,1490
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,1491
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Sewing, Embroidery and Related Workers",1492
Cleaners and Helpers,Vehicle Cleaners,1493
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1494
Science and Engineering Associate Professionals,Power Production Plant Operators,1495
Personal Services Workers,Pet Groomers and Animal Care Workers,1496
Health Professionals,Health Professionals Not Elsewhere Classified,1497
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1498
Stationary Plant and Machine Operators,Sewing Machine Operators,1499
"Metal, Machinery and Related Trades Workers",Aircraft Engine Mechanics and Repairers,1500
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,1501
Health Associate Professionals,Environmental and Occupational Health Inspectors and Associates,1502
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,1503
Stationary Plant and Machine Operators,Fur and Leather Preparing Machine Operators,1504
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1505
"Legal, Social and Cultural Professionals",Psychologists,1506
Science and Engineering Professionals,"Biologists, Botanists, Zoologists and Related Professionals",1507
Science and Engineering Associate Professionals,Manufacturing Supervisors,1508
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1509
"Legal, Social and Cultural Professionals","Musicians, Singers and Composers",1510
Teaching Professionals,University and Higher Education Teachers,1511
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1512
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Woodworking Machine Tool Setters and Operators,1513
Protective Services Workers,Security Guards,1514
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Butchers, Fishmongers and Related Food Preparers",1515
Business and Administration Associate Professionals,Real Estate Agents and Property Managers,1516
Assemblers,Assemblers Not Elsewhere Classified,1517
Other Clerical Support Workers,Mail Carriers and Sorting Clerks,1518
Science and Engineering Associate Professionals,Electrical Engineering Technicians,1519
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1520
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1521
Science and Engineering Professionals,Electronics Engineers,1522
Science and Engineering Professionals,Physicists and Astronomers,1523
Refuse Workers and Other Elementary Workers,Elementary Workers Not Elsewhere Classified,1524
Handicraft and Printing Workers,Print Finishing and Binding Workers,1525
Protective Services Workers,Protective Services Workers Not Elsewhere Classified,1526
Science and Engineering Associate Professionals,Incinerator and Water Treatment Plant Operators,1527
Handicraft and Printing Workers,Printers ,1528
Business and Administration Associate Professionals,Trade Brokers,1529
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1530
Health Professionals,Audiologists and Speech Therapists,1531
Business and Administration Associate Professionals,Trade Brokers,1532
"Legal, Social and Cultural Professionals",Visual Artists,1533
"Market-oriented Skilled Forestry, Fishery and Hunting Workers",Aquaculture Workers,1534
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1535
Market-oriented Skilled Agricultural Workers,Poultry Producers,1536
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,1537
Science and Engineering Professionals,"Mining Engineers, Metallurgists and Related Professionals",1538
"Labourers in Mining, Construction, Manufacturing and Transport",Freight Handlers,1539
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1540
Health Professionals,Traditional and Complementary Medicine Professionals,1541
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,1542
Teaching Professionals,Secondary Education Teachers,1543
Science and Engineering Professionals,Environmental Protection Professionals,1544
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1545
Teaching Professionals,Secondary Education Teachers,1546
Sales Workers,Shop Sales Assistants,1547
Production and Specialized Services Managers,Information and Communications Technology Services Managers,1548
Science and Engineering Professionals,Mechanical Engineers,1549
"Legal, Social, Cultural and Related Associate Professionals","Sports Coaches, Instructors and Officials",1550
Information and Communications Technology Professionals,Database and Network Professionals Not Elsewhere Classified,1551
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,1552
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1553
Information and Communications Technology Professionals,Systems Administrators,1554
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Dairy Products Makers,1555
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,1556
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,1557
Drivers and Mobile Plant Operators,Locomotive Engine Drivers,1558
Teaching Professionals,Vocational Education Teachers,1559
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,1560
Customer Services Clerks,Hotel Receptionists,1561
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,1562
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1563
Science and Engineering Associate Professionals,Construction Supervisors,1564
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",1565
Sales Workers,Shop Sales Assistants,1566
Teaching Professionals,Vocational Education Teachers,1567
Health Professionals,Health Professionals Not Elsewhere Classified,1568
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),1569
Personal Services Workers,Hairdressers,1570
Science and Engineering Professionals,Geologists and Geophysicists,1571
Handicraft and Printing Workers,Musical Instrument Makers and Tuners,1572
Production and Specialized Services Managers,Information and Communications Technology Services Managers,1573
Business and Administration Professionals,Public Relations Professionals,1574
Science and Engineering Associate Professionals,Manufacturing Supervisors,1575
Personal Services Workers,Driving Instructors,1576
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,1577
"Metal, Machinery and Related Trades Workers","Metal Polishers, Wheel Grinders and Tool Sharpeners",1578
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,1579
Drivers and Mobile Plant Operators,Ships’ Deck Crews and Related Workers,1580
Assemblers,Mechanical Machinery Assemblers,1581
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1582
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1583
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1584
"Legal, Social and Cultural Professionals","Announcers on Radio, Television and Other Media",1585
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,1586
Protective Services Workers,Security Guards,1587
Health Professionals,Veterinarians,1588
Business and Administration Professionals,Accountants,1589
Business and Administration Associate Professionals,Conference and Event Planners,1590
Science and Engineering Associate Professionals,Draughtspersons,1591
Science and Engineering Associate Professionals,Chemical and Physical Science Technicians,1592
Personal Services Workers,Pet Groomers and Animal Care Workers,1593
Stationary Plant and Machine Operators,Plastic Products Machine Operators,1594
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1595
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1596
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1597
Numerical and Material Recording Clerks,"Statistical, Finance and Insurance Clerks",1598
Business and Administration Professionals,Technical and Medical Sales Professionals (excluding ICT),1599
Teaching Professionals,Vocational Education Teachers,1600
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1601
Personal Services Workers,Undertakers and Embalmers,1602
Science and Engineering Professionals,Industrial and Production Engineers,1603
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),1604
Science and Engineering Professionals,Chemists,1605
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",1606
Stationary Plant and Machine Operators,Wood Processing Plant Operators,1607
Information and Communications Technology Professionals,Software Developers,1608
Science and Engineering Associate Professionals,Process Control Technicians Not Elsewhere Classified,1609
Science and Engineering Professionals,Geologists and Geophysicists,1610
Stationary Plant and Machine Operators,Well Drillers and Borers and Related Workers,1611
Science and Engineering Professionals,Non-commissioned Armed Forces Officers,1612
Science and Engineering Professionals,Electrical Engineers,1613
Stationary Plant and Machine Operators,"Cement, Stone and Other Mineral Products Machine Operators",1614
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,1615
Sales Workers,Shop Sales Assistants,1616
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1617
"Legal, Social, Cultural and Related Associate Professionals",Interior Designers and Decorators,1618
Science and Engineering Associate Professionals,Construction Supervisors,1619
Science and Engineering Associate Professionals,Chemical and Physical Science Technicians,1620
"Labourers in Mining, Construction, Manufacturing and Transport",Hand Packers,1621
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1622
Personal Care Workers,Health Care Assistants,1623
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",1624
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1625
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1626
"Legal, Social and Cultural Professionals",Legal Professionals Not Elsewhere Classified,1627
Drivers and Mobile Plant Operators,"Car, Taxi and Van Drivers",1628
Stationary Plant and Machine Operators,"Bleaching, Dyeing and Fabric Cleaning Machine Operators",1629
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,1630
Science and Engineering Associate Professionals,Construction Supervisors,1631
Stationary Plant and Machine Operators,Pulp and Papermaking Plant Operators,1632
Protective Services Workers,Firefighters,1633
"Legal, Social, Cultural and Related Associate Professionals",Interior Designers and Decorators,1634
Teaching Professionals,University and Higher Education Teachers,1635
Assemblers,Mechanical Machinery Assemblers,1636
Stationary Plant and Machine Operators,Plastic Products Machine Operators,1637
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,1638
Stationary Plant and Machine Operators,Glass and Ceramics Plant Operators,1639
Numerical and Material Recording Clerks,Transport Clerks,1640
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1641
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Sewing, Embroidery and Related Workers",1642
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1643
Business and Administration Professionals,Accountants,1644
Science and Engineering Professionals,Chemical Engineers,1645
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,1646
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1647
Teaching Professionals,Secondary Education Teachers,1648
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,1649
Business and Administration Professionals,Information and Communications Technology Sales Professionals,1650
Science and Engineering Professionals,Environmental Protection Professionals,1651
Handicraft and Printing Workers,Jewellery and Precious Metal Workers,1652
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,1653
Business and Administration Associate Professionals,Securities and Finance Dealers and Brokers,1654
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,1655
Science and Engineering Professionals,Graphic and Multimedia Designers,1656
Health Professionals,Dieticians and Nutritionists,1657
Science and Engineering Associate Professionals,Chemical and Physical Science Technicians,1658
Science and Engineering Professionals,Industrial and Production Engineers,1659
Science and Engineering Associate Professionals,Civil Engineering Technicians,1660
"Metal, Machinery and Related Trades Workers",Structural Metal Preparers and Erectors,1661
Teaching Professionals,University and Higher Education Teachers,1662
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,1663
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,1664
Handicraft and Printing Workers,"Signwriters, Decorative Painters, Engravers and Etchers",1665
Market-oriented Skilled Agricultural Workers,Tree and Shrub Crop Growers,1666
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,1667
Production and Specialized Services Managers,Information and Communications Technology Services Managers,1668
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,1669
Electrical and Electronics Trades Workers,Electrical Mechanics and Fitters,1670
Handicraft and Printing Workers,"Handicraft Workers in Textile, Leather and Related Materials",1671
Stationary Plant and Machine Operators,Plastic Products Machine Operators,1672
Stationary Plant and Machine Operators,Plastic Products Machine Operators,1673
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1674
Science and Engineering Professionals,Mechanical Engineers,1675
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1676
"Legal, Social and Cultural Professionals",Journalists,1677
Teaching Professionals,Early Childhood Educators,1678
Business and Administration Professionals,Policy Administration Professionals,1679
Business and Administration Associate Professionals,Trade Brokers,1680
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1681
Science and Engineering Professionals,Electronics Engineers,1682
Science and Engineering Professionals,Building Architects,1683
Information and Communications Technology Professionals,Database Designers and Administrators,1684
"Metal, Machinery and Related Trades Workers",Riggers and Cable Splicers,1685
Business and Administration Associate Professionals,Medical Secretaries,1686
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,1687
"Legal, Social and Cultural Professionals",Authors and Related Writers,1688
"Legal, Social and Cultural Professionals",Creative and Performing Artists Not Elsewhere Classified,1689
Business and Administration Associate Professionals,Administrative and Executive Secretaries,1690
Electrical and Electronics Trades Workers,Electrical Mechanics and Fitters,1691
Stationary Plant and Machine Operators,Rubber Products Machine Operators,1692
Teaching Professionals,Secondary Education Teachers,1693
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,1694
Health Professionals,Nursing Professionals,1695
Stationary Plant and Machine Operators,"Cement, Stone and Other Mineral Products Machine Operators",1696
Science and Engineering Professionals,Mechanical Engineers,1697
Drivers and Mobile Plant Operators,"Car, Taxi and Van Drivers",1698
Business and Administration Professionals,Financial Analysts,1699
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,1700
Stationary Plant and Machine Operators,Well Drillers and Borers and Related Workers,1701
Information and Communications Technology Professionals,Database Designers and Administrators,1702
Health Professionals,Pharmacists,1703
Sales Workers,Sales Workers Not Elsewhere Classified,1704
Science and Engineering Professionals,Industrial and Production Engineers,1705
Business and Administration Associate Professionals,Credit and Loans Officers,1706
Market-oriented Skilled Agricultural Workers,Gardeners; Horticultural and Nursery Growers,1707
Business and Administration Associate Professionals,Securities and Finance Dealers and Brokers,1708
Business and Administration Associate Professionals,Real Estate Agents and Property Managers,1709
Stationary Plant and Machine Operators,Rubber Products Machine Operators,1710
"Legal, Social, Cultural and Related Associate Professionals",Chefs,1711
"Legal, Social and Cultural Professionals",Archivists and Curators,1712
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,1713
Stationary Plant and Machine Operators,Pulp and Papermaking Plant Operators,1714
Stationary Plant and Machine Operators,Chemical Products Plant and Machine Operators,1715
Sales Workers,Shop Sales Assistants,1716
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1717
Drivers and Mobile Plant Operators,"Crane, Hoist and Related Plant Operators",1718
Protective Services Workers,Security Guards,1719
Stationary Plant and Machine Operators,"Cement, Stone and Other Mineral Products Machine Operators",1720
Business and Administration Professionals,Public Relations Professionals,1721
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1722
Teaching Professionals,Vocational Education Teachers,1723
Personal Services Workers,Cooks,1724
"Metal, Machinery and Related Trades Workers",Aircraft Engine Mechanics and Repairers,1725
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1726
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1727
Teaching Professionals,Vocational Education Teachers,1728
Science and Engineering Professionals,Industrial and Production Engineers,1729
Science and Engineering Associate Professionals,Draughtspersons,1730
Teaching Professionals,University and Higher Education Teachers,1731
"Labourers in Mining, Construction, Manufacturing and Transport",Freight Handlers,1732
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Patternmakers and Cutters,1733
Health Associate Professionals,Medical and Dental Prosthetic Technicians,1734
"Legal, Social, Cultural and Related Associate Professionals",Legal and Related Associate Professionals,1735
Customer Services Clerks,Hotel Receptionists,1736
Science and Engineering Professionals,Electronics Engineers,1737
Health Associate Professionals,Medical Records and Health Information Technicians,1738
Cleaners and Helpers,Window Cleaners,1739
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Upholsterers and Related Workers,1740
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,1741
Science and Engineering Professionals,Geologists and Geophysicists,1742
Business and Administration Associate Professionals,Trade Brokers,1743
Business and Administration Associate Professionals,Customs and Border Inspectors,1744
Business and Administration Professionals,Financial and Investment Advisers,1745
"Hospitality, Retail and Other Services Managers",Services Managers Not Elsewhere Classified,1746
Stationary Plant and Machine Operators,"Packing, Bottling and Labelling Machine Operators",1747
Stationary Plant and Machine Operators,Weaving and Knitting Machine Operators,1748
"Metal, Machinery and Related Trades Workers","Blacksmiths, Hammersmiths and Forging Press Workers",1749
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Shoemakers and Related Workers,1750
Science and Engineering Professionals,Mechanical Engineers,1751
"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,1752
Science and Engineering Professionals,Town and Traffic Planners,1753
Teaching Professionals,Vocational Education Teachers,1754
Production and Specialized Services Managers,Financial and Insurance Services Branch Managers,1755
Electrical and Electronics Trades Workers,Electrical Mechanics and Fitters,1756
Health Associate Professionals,Physiotherapy Technicians and Assistants,1757
Administrative and Commercial Managers,Human Resource Managers,1758
Handicraft and Printing Workers,"Handicraft Workers in Wood, Basketry and Related Materials",1759
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,1760
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1761
Business and Administration Associate Professionals,Trade Brokers,1762
"Legal, Social and Cultural Professionals",Visual Artists,1763
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,1764
Science and Engineering Professionals,Graphic and Multimedia Designers,1765
Drivers and Mobile Plant Operators,Heavy Truck and Lorry Drivers,1766
Science and Engineering Associate Professionals,Manufacturing Supervisors,1767
Science and Engineering Associate Professionals,Life Science Technicians (excluding Medical),1768
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,1769
General and Keyboard Clerks,General Office Clerks,1770
Stationary Plant and Machine Operators,Stationary Plant and Machine Operators Not Elsewhere Classified,1771
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Upholsterers and Related Workers,1772
Science and Engineering Professionals,Chemical Engineers,1773
Health Professionals,Midwifery Professionals,1774
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1775
Science and Engineering Associate Professionals,Manufacturing Supervisors,1776
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1777
Building and Related Trades Workers (excluding Electricians),Building Frame and Related Trades Workers Not Elsewhere Classified,1778
Personal Services Workers,Travel Attendants and Travel Stewards,1779
Handicraft and Printing Workers,"Signwriters, Decorative Painters, Engravers and Etchers",1780
Customer Services Clerks,"Bookmakers, Croupiers and Related Gaming Workers",1781
Personal Services Workers,Building Caretakers,1782
Stationary Plant and Machine Operators,Plastic Products Machine Operators,1783
Personal Services Workers,Transport Conductors,1784
"Legal, Social and Cultural Professionals",Visual Artists,1785
Food Preparation Assistants,Fast Food Preparers,1786
"Legal, Social and Cultural Professionals",Archivists and Curators,1787
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1788
Science and Engineering Associate Professionals,Manufacturing Supervisors,1789
Information and Communications Technology Professionals,Web and Multimedia Developers,1790
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1791
Teaching Professionals,Other Language Teachers,1792
Information and Communications Technicians,Information and Communications Technology Operations Technicians,1793
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1794
Science and Engineering Professionals,Civil Engineers,1795
Sales Workers,Shop Sales Assistants,1796
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1797
"Legal, Social and Cultural Professionals",Lawyers,1798
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1799
Teaching Professionals,University and Higher Education Teachers,1800
Stationary Plant and Machine Operators,Wood Processing Plant Operators,1801
"Legal, Social and Cultural Professionals",Psychologists,1802
Teaching Professionals,Special Needs Teachers,1803
Drivers and Mobile Plant Operators,"Car, Taxi and Van Drivers",1804
Handicraft and Printing Workers,Potters and Related Workers,1805
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Tailors, Dressmakers, Furriers and Hatters",1806
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,1807
Science and Engineering Professionals,Industrial and Production Engineers,1808
"Metal, Machinery and Related Trades Workers",Welders and Flame Cutters,1809
Handicraft and Printing Workers,Musical Instrument Makers and Tuners,1810
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1811
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,1812
Business and Administration Professionals,Public Relations Professionals,1813
Health Associate Professionals,Medical Records and Health Information Technicians,1814
"Legal, Social and Cultural Professionals","Sociologists, Anthropologists and Related Professionals",1815
Personal Services Workers,Waiters,1816
Electrical and Electronics Trades Workers,Electrical Mechanics and Fitters,1817
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1818
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1819
Market-oriented Skilled Agricultural Workers,Gardeners; Horticultural and Nursery Growers,1820
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1821
Information and Communications Technology Professionals,Systems Administrators,1822
"Metal, Machinery and Related Trades Workers",Motor Vehicle Mechanics and Repairers,1823
Business and Administration Professionals,Technical and Medical Sales Professionals (excluding ICT),1824
Business and Administration Professionals,Policy Administration Professionals,1825
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1826
Business and Administration Associate Professionals,Trade Brokers,1827
Teaching Professionals,University and Higher Education Teachers,1828
Stationary Plant and Machine Operators,"Cement, Stone and Other Mineral Products Machine Operators",1829
Building and Related Trades Workers (excluding Electricians),Building Structure Cleaners,1830
"Legal, Social and Cultural Professionals",Economists,1831
Science and Engineering Professionals,Mechanical Engineers,1832
Science and Engineering Associate Professionals,Air Traffic Controllers,1833
Stationary Plant and Machine Operators,Glass and Ceramics Plant Operators,1834
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,1835
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1836
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1837
Health Associate Professionals,Veterinary Technicians and Assistants,1838
Production and Specialized Services Managers,Manufacturing Managers,1839
"Legal, Social and Cultural Professionals","Translators, Interpreters and Other Linguists",1840
Teaching Professionals,Education Methods specialists,1841
Numerical and Material Recording Clerks,"Statistical, Finance and Insurance Clerks",1842
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,1843
Teaching Professionals,Vocational Education Teachers,1844
Teaching Professionals,University and Higher Education Teachers,1845
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),1846
Customer Services Clerks,Travel Consultants and Clerks,1847
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1848
Science and Engineering Associate Professionals,Electrical Engineering Technicians,1849
Refuse Workers and Other Elementary Workers,Meter Readers and Vending-machine Collectors,1850
Other Clerical Support Workers,Filing and Copying Clerks,1851
Personal Services Workers,Cooks,1852
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1853
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1854
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1855
Sales Workers,Fashion and Other Models,1856
Science and Engineering Professionals,Cartographers and Surveyors,1857
Customer Services Clerks,Travel Consultants and Clerks,1858
Business and Administration Associate Professionals,Buyers,1859
Teaching Professionals,Education Methods specialists,1860
Health Professionals,Specialist Medical Practitioners ,1861
Sales Workers,Shop Sales Assistants,1862
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1863
"Chief Executives, Senior Officials and Legislators",Commissioned Armed Forces Officers,1864
Protective Services Workers,Firefighters,1865
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,1866
Handicraft and Printing Workers,"Handicraft Workers in Wood, Basketry and Related Materials",1867
Protective Services Workers,Security Guards,1868
Business and Administration Professionals,Advertising and Marketing Professionals,1869
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1870
Science and Engineering Associate Professionals,Mining and Metallurgical Technicians,1871
Personal Services Workers,Transport Conductors,1872
Business and Administration Associate Professionals,Office Supervisors,1873
Administrative and Commercial Managers,Research and Development Managers,1874
Science and Engineering Associate Professionals,Ships’ Engineers,1875
Production and Specialized Services Managers,Manufacturing Managers,1876
Science and Engineering Associate Professionals,Construction Supervisors,1877
Teaching Professionals,Vocational Education Teachers,1878
"Legal, Social and Cultural Professionals",Economists,1879
Business and Administration Professionals,Public Relations Professionals,1880
Information and Communications Technology Professionals,Systems Administrators,1881
"Chief Executives, Senior Officials and Legislators",Senior Government Officials,1882
Science and Engineering Professionals,Mechanical Engineers,1883
Teaching Professionals,Information Technology Trainers,1884
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1885
Information and Communications Technology Professionals,Web and Multimedia Developers,1886
Handicraft and Printing Workers,"Handicraft Workers in Wood, Basketry and Related Materials",1887
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1888
Administrative and Commercial Managers,Research and Development Managers,1889
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Tobacco Preparers and Tobacco Products Makers,1890
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1891
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1892
Stationary Plant and Machine Operators,"Cement, Stone and Other Mineral Products Machine Operators",1893
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,1894
Food Preparation Assistants,Fast Food Preparers,1895
Business and Administration Professionals,Accountants,1896
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,1897
Business and Administration Associate Professionals,Trade Brokers,1898
Health Associate Professionals,Environmental and Occupational Health Inspectors and Associates,1899
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1900
Stationary Plant and Machine Operators,Metal Processing Plant Operators,1901
Sales Workers,Shop Sales Assistants,1902
Teaching Professionals,Secondary Education Teachers,1903
"Agricultural, Forestry and Fishery Labourers",Garden and Horticultural Labourers,1904
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,1905
Science and Engineering Professionals,Product and Garment Designers,1906
Business and Administration Professionals,Training and Staff Development Professionals,1907
Business and Administration Associate Professionals,Insurance Representatives,1908
"Agricultural, Forestry and Fishery Labourers",Livestock Farm Labourers,1909
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,1910
Handicraft and Printing Workers,"Signwriters, Decorative Painters, Engravers and Etchers",1911
Personal Services Workers,Waiters,1912
Business and Administration Professionals,Policy Administration Professionals,1913
"Metal, Machinery and Related Trades Workers",Metal Working Machine Tool Setters and Operators,1914
Business and Administration Associate Professionals,Trade Brokers,1915
Customer Services Clerks,Survey and Market Research Interviewers,1916
Personal Services Workers,"Astrologers, Fortune-tellers and Related Workers",1917
Sales Workers,Sales Workers Not Elsewhere Classified,1918
Personal Services Workers,Beauticians and Related Workers,1919
Personal Services Workers,Waiters,1920
Science and Engineering Associate Professionals,Chemical Processing Plant Controllers,1921
"Chief Executives, Senior Officials and Legislators",Senior Government Officials,1922
"Legal, Social, Cultural and Related Associate Professionals",Chefs,1923
Stationary Plant and Machine Operators,Weaving and Knitting Machine Operators,1924
Information and Communications Technology Professionals,Software and Applications Developers and Analysts Not Elsewhere Classified,1925
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Food and Beverage Tasters and Graders,1926
Building and Related Trades Workers (excluding Electricians),Painters and Related Workers,1927
Business and Administration Associate Professionals,Valuers and Loss Assessors,1928
