group_name,group_description,id
Drivers and Mobile Plant Operators,Earthmoving and Related Plant Operators,801
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Dairy Products Makers,802
Science and Engineering Professionals,Cartographers and Surveyors,803
Stationary Plant and Machine Operators,Glass and Ceramics Plant Operators,804
Health Associate Professionals,Environmental and Occupational Health Inspectors and Associates,805
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Product Graders and Testers (excluding Foods and Beverages),806
Refuse Workers and Other Elementary Workers,"Messengers, Package Deliverers and Luggage Porters",807
"Legal, Social and Cultural Professionals","Sociologists, Anthropologists and Related Professionals",808
Science and Engineering Associate Professionals,Mechanical Engineering Technicians,809
Science and Engineering Professionals,Town and Traffic Planners,810
Stationary Plant and Machine Operators,Glass and Ceramics Plant Operators,811
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",812
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Wood Treaters,813
"Hospitality, Retail and Other Services Managers",Services Managers Not Elsewhere Classified,814
Administrative and Commercial Managers,Finance Managers,815
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,816
Drivers and Mobile Plant Operators,Heavy Truck and Lorry Drivers,817
"Legal, Social and Cultural Professionals","Musicians, Singers and Composers",818
Stationary Plant and Machine Operators,Miners and Quarriers,819
Information and Communications Technology Professionals,Computer Network Professionals,820
Production and Specialized Services Managers,Manufacturing Managers,821
Market-oriented Skilled Agricultural Workers,Mixed Crop and Animal Producers,822
Teaching Professionals,Vocational Education Teachers,823
Science and Engineering Associate Professionals,Manufacturing Supervisors,824
Information and Communications Technology Professionals,Applications Programmers,825
Teaching Professionals,Information Technology Trainers,826
Production and Specialized Services Managers,Financial and Insurance Services Branch Managers,827
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,828
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,829
Teaching Professionals,Vocational Education Teachers,830
Health Associate Professionals,Traditional and Complementary Medicine Associate Professionals,831
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,832
Personal Services Workers,Driving Instructors,833
Stationary Plant and Machine Operators,Well Drillers and Borers and Related Workers,834
Teaching Professionals,Other Arts Teachers,835
Teaching Professionals,Vocational Education Teachers,836
"Labourers in Mining, Construction, Manufacturing and Transport",Civil Engineering Labourers,837
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,838
Cleaners and Helpers,Other Cleaning Workers,839
Business and Administration Professionals,Advertising and Marketing Professionals,840
Business and Administration Professionals,Advertising and Marketing Professionals,841
Teaching Professionals,University and Higher Education Teachers,842
Science and Engineering Associate Professionals,Petroleum and Natural Gas Refining Plant Operators,843
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,844
Drivers and Mobile Plant Operators,Earthmoving and Related Plant Operators,845
Science and Engineering Professionals,"Mining Engineers, Metallurgists and Related Professionals",846
Information and Communications Technicians,Broadcasting and Audiovisual Technicians,847
Business and Administration Professionals,Advertising and Marketing Professionals,848
"Legal, Social, Cultural and Related Associate Professionals",Photographers,849
Stationary Plant and Machine Operators,Stationary Plant and Machine Operators Not Elsewhere Classified,850
Business and Administration Associate Professionals,Trade Brokers,851
Science and Engineering Professionals,Electronics Engineers,852
Business and Administration Associate Professionals,Business Services Agents Not Elsewhere Classified,853
Personal Services Workers,Beauticians and Related Workers,854
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Butchers, Fishmongers and Related Food Preparers",855
Science and Engineering Professionals,Graphic and Multimedia Designers,856
Stationary Plant and Machine Operators,"Fibre Preparing, Spinning and Winding Machine Operators",857
Teaching Professionals,University and Higher Education Teachers,858
Electrical and Electronics Trades Workers,Electronics Mechanics and Servicers,859
Electrical and Electronics Trades Workers,Building and Related Electricians,860
Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians",861
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",862
Personal Services Workers,Beauticians and Related Workers,863
Business and Administration Associate Professionals,Insurance Representatives,864
Science and Engineering Professionals,Chemical Engineers,865
Personal Services Workers,Waiters,866
Handicraft and Printing Workers,Print Finishing and Binding Workers,867
"Legal, Social and Cultural Professionals","Translators, Interpreters and Other Linguists",868
"Hospitality, Retail and Other Services Managers","Sports, Recreation and Cultural Centre Managers",869
Numerical and Material Recording Clerks,Transport Clerks,870
Health Professionals,Health Professionals Not Elsewhere Classified,871
Stationary Plant and Machine Operators,Glass and Ceramics Plant Operators,872
Sales Workers,Food Service Counter Attendants,873
Business and Administration Professionals,Technical and Medical Sales Professionals (excluding ICT),874
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",875
Stationary Plant and Machine Operators,Miners and Quarriers,876
Stationary Plant and Machine Operators,Shoemaking and Related Machine Operators,877
Production and Specialized Services Managers,Health Services Managers,878
Stationary Plant and Machine Operators,Plastic Products Machine Operators,879
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,880
Business and Administration Associate Professionals,Government Tax and Excise Officials,881
Science and Engineering Professionals,Non-commissioned Armed Forces Officers,882
Health Associate Professionals,Medical and Pathology Laboratory Technicians ,883
Stationary Plant and Machine Operators,Plastic Products Machine Operators,884
Personal Services Workers,Pet Groomers and Animal Care Workers,885
"Metal, Machinery and Related Trades Workers",Motor Vehicle Mechanics and Repairers,886
Sales Workers,Shop Sales Assistants,887
Business and Administration Professionals,Advertising and Marketing Professionals,888
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,889
Sales Workers,Shop Sales Assistants,890
Production and Specialized Services Managers,Professional Services Managers Not Elsewhere Classified,891
Information and Communications Technology Professionals,Systems Analysts,892
Science and Engineering Associate Professionals,Manufacturing Supervisors,893
Stationary Plant and Machine Operators,Pulp and Papermaking Plant Operators,894
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",895
Science and Engineering Professionals,Chemical Engineers,896
Business and Administration Associate Professionals,Trade Brokers,897
Science and Engineering Professionals,Geologists and Geophysicists,898
Science and Engineering Associate Professionals,Chemical and Physical Science Technicians,899
Business and Administration Associate Professionals,Securities and Finance Dealers and Brokers,900
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,901
Science and Engineering Associate Professionals,Air Traffic Controllers,902
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,903
"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,904
"Legal, Social and Cultural Professionals",Authors and Related Writers,905
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",906
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,907
Business and Administration Associate Professionals,Commercial Sales Representatives,908
Business and Administration Professionals,Financial and Investment Advisers,909
Stationary Plant and Machine Operators,"Fibre Preparing, Spinning and Winding Machine Operators",910
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,911
Science and Engineering Associate Professionals,Civil Engineering Technicians,912
Business and Administration Professionals,Policy Administration Professionals,913
Protective Services Workers,Protective Services Workers Not Elsewhere Classified,914
"Legal, Social and Cultural Professionals",Journalists,915
Stationary Plant and Machine Operators,Miners and Quarriers,916
Health Professionals,Veterinarians,917
Science and Engineering Associate Professionals,Draughtspersons,918
Information and Communications Technicians,Broadcasting and Audiovisual Technicians,919
Personal Care Workers,Teachers’ Aides,920
Science and Engineering Professionals,Electronics Engineers,921
Science and Engineering Professionals,Graphic and Multimedia Designers,922
Science and Engineering Professionals,Mechanical Engineers,923
Teaching Professionals,Vocational Education Teachers,924
Business and Administration Associate Professionals,Government Social Benefits Officials,925
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,926
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,927
Sales Workers,Shop Sales Assistants,928
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,929
Personal Services Workers,Hairdressers,930
Science and Engineering Professionals,Mechanical Engineers,931
"Legal, Social, Cultural and Related Associate Professionals","Gallery, Museum and Library Technicians",932
Business and Administration Professionals,Accountants,933
Sales Workers,Sales Workers Not Elsewhere Classified,934
Teaching Professionals,University and Higher Education Teachers,935
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",936
Teaching Professionals,Vocational Education Teachers,937
Administrative and Commercial Managers,Advertising and Public Relations Managers,938
Business and Administration Professionals,Financial and Investment Advisers,939
"Legal, Social, Cultural and Related Associate Professionals",Interior Designers and Decorators,940
Refuse Workers and Other Elementary Workers,Refuse Sorters,941
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,942
"Legal, Social and Cultural Professionals",Creative and Performing Artists Not Elsewhere Classified,943
Science and Engineering Professionals,"Mining Engineers, Metallurgists and Related Professionals",944
Health Professionals,Health Professionals Not Elsewhere Classified,945
Building and Related Trades Workers (excluding Electricians),Floor Layers and Tile Setters,946
Science and Engineering Professionals,Graphic and Multimedia Designers,947
Administrative and Commercial Managers,Policy and Planning Managers,948
Science and Engineering Professionals,Electronics Engineers,949
"Legal, Social and Cultural Professionals",Psychologists,950
Stationary Plant and Machine Operators,"Metal Finishing, Plating and Coating Machine Operators",951
