id,concept_type,concept_uri,preferred_label,isco_level_1,isco_level_2,isco_level_3,isco_level_4,is_top_level,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,total_paid_hours,employment_count,employment_share,risk,prevalence,risk_category,onet_code,onet_occupation,level_1,level_2,skills_based_sector_code,sub_sector_code,skills_based_sector,sub_sector,remote_labor_index,physical_proximity,exposure_score
1657,Occupation,http://data.europa.eu/esco/occupation/8a53f8d3-d995-4c7b-a70d-d79f76bdcb3f,dietitian,2,22,226,2265,True,5.0,7.4277,6.181800000000001,3.0462,29440.436363636363,32.60625,12806.0,0.0003982983283703473,3.410820939916716,0.5521713265913146,Other,29-1031.00,dietitians and nutritionists,10,43,11,11.3,healthcare workers,naturopathic & physical therapists,0.7142857140000001,0.6925,0.4448113567064132
1658,Occupation,http://data.europa.eu/esco/occupation/8a87e8b3-aecf-48a7-9837-4e022c3b9bb9,chromatographer,3,31,311,3111,False,3.0,4.573499999999999,4.4165,3.6283,25086.502645502642,37.54025974025974,,,3.5238396525961906,0.6232723197609265,Other,19-4031.00,chemical technicians,4,20,5,5.1,engineers & researchers,researchers & science technicians,0.230769231,0.5825,0.6693854815743318
1659,Occupation,http://data.europa.eu/esco/occupation/8a925aca-f636-437c-8962-5deae170e246,food and beverage packaging technologist,2,21,214,2141,True,4.0,6.807600000000001,3.72,3.4000000000000004,34623.15821501014,36.88374125874126,11552.0,0.00035929027887737113,3.340218926553672,0.6443032015065913,Other,19-1012.00,food scientists and technologists,8,37,9,9.3,food & tobacco production workers,food & tobacco production specialists,0.5555555560000001,0.52,0.4807401698214952
1660,Occupation,http://data.europa.eu/esco/occupation/8ae1e637-840b-4be0-a5df-8653375d8949,landfill supervisor,3,31,311,3112,False,3.0,4.2276,8.7514,5.3819,31261.07339449541,37.26484375,,,3.351710913099393,0.5710086349439647,Other,17-3022.00,civil engineering technicians,0,4,1,1.5,"technicians, construction, transport & security workers",environmental & agriculture workers,0.727272727,0.565,0.3925441494214377
1661,Occupation,http://data.europa.eu/esco/occupation/8afab6c4-6145-4ea1-a0ae-d2c3438bda7e,shipwright,7,72,721,7214,True,2.0,2.6278,5.816000000000002,4.3322,32092.127976190477,41.923350253807115,7119.0,0.00022143089323577782,3.439770150034892,0.8590369853454292,Other,51-4192.00,"layout workers, metal and plastic",0,0,1,1.1,"technicians, construction, transport & security workers",engineering technicians,0.272727273,0.565,0.6410219112908699
1662,Occupation,http://data.europa.eu/esco/occupation/8b128a08-606f-4bb1-806e-07e0ed98b40e,space science lecturer,2,23,231,2310,False,5.0,10.0892,6.266,2.7713,40843.04347826087,29.556549520766772,,,3.3545915971243816,0.43329359488457786,Other,25-1125.00,"history teachers, postsecondary",6,30,7,7.3,education workers,lecturers,0.85,0.36,0.23237900077244505
1663,Occupation,http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7,defence administration officer,1,12,121,1219,True,3.0,3.9636,6.9711,3.4248,34973.799761620976,35.49536082474228,55197.0,0.0017167558600387036,3.3301445668290617,0.6149120948951492,Other,11-3011.00,administrative services managers,1,6,2,2.1,business & administration workers,"process managers, supervisors & coordinators",0.692307692,0.45,0.37210420395367744
1664,Occupation,http://data.europa.eu/esco/occupation/8b273f5e-bdc5-4b73-80bd-3e324a20309b,paint mixer,8,81,813,8131,False,2.0,2.2238,4.9185,3.9773,22211.82014388489,39.965625,,,3.282870199975464,0.8901975217764694,Low risk,51-9023.00,"mixing and blending machine setters, operators, and tenders",3,17,4,4.2,manufacturing workers,chemical manufacturing workers,0.071428571,0.4,0.6094494003606863
1665,Occupation,http://data.europa.eu/esco/occupation/8b2d562c-8407-49cd-9843-636c352b8c82,metal engraver,7,73,731,7316,True,2.0,2.0623,4.7928,4.5546,22926.81212121212,39.38947368421053,2046.0,6.36451146858395e-05,3.4270789516259508,0.7296553955670604,Other,51-9194.00,etchers and engravers,3,16,4,4.1,manufacturing workers,metal workers & machine operators,0.14285714300000002,0.455,0.6244997997877981
1666,Occupation,http://data.europa.eu/esco/occupation/8b304664-ba25-45fe-a5bf-80c727943a86,vineyard manager,6,61,611,6112,True,3.0,3.3821000000000003,6.5543999999999984,5.4749,30788.0,39.60833333333333,13766.0,0.00042815182373523946,3.4780386285864706,0.810739668333772,Other,45-1011.07,first-line supervisors of agricultural crop and horticultural workers,0,1,1,1.2,"technicians, construction, transport & security workers",construction workers & supervisors,0.318181818,0.4300000000000001,0.5414626656197082
